name,description,latitude,longitude,city,country,category,tags,opening_hours
Pantai Kuta,"Pantai terkenal di Bali",-8.718349,115.168439,Kuta,Indonesia,Pantai,"pantai,sunset,ramai","{""default"": ""00:00-23:59""}"
Ubud Monkey Forest,"Hutan kera suci",-8.518763,115.259500,Ubud,Indonesia,Alam,"alam,kera,hutan","{""default"": ""09:00-18:00""}"
Tanah Lot,"Pura ikonik di atas batu karang di tepi laut Bali",-8.621111,115.087222,Tabanan,Indonesia,Religi,"pura,sunset,laut,bali","{""default"": ""07:00-19:00""}"
Pura Uluwatu,"Pura di puncak tebing dengan pemandangan laut dan pertunjukan Tari Kecak",-8.829167,115.085556,Uluwatu,Indonesia,Religi,"pura,tebing,sunset,kecak","{""default"": ""07:00-19:00""}"
Tegalalang Rice Terrace,"Sawah terasering yang hijau dan fotogenik di Ubud",-8.432367,115.280017,Ubud,Indonesia,Alam,"sawah,terasering,hijau,fotografi","{""default"": ""08:00-18:00""}"
Pura Ulun Danu Beratan,"Pura indah yang tampak mengapung di Danau Beratan",-8.275278,115.166944,Bedugul,Indonesia,Religi,"pura,danau,ikonik,bedugul","{""default"": ""07:00-19:00""}"
Pantai Seminyak,"Pantai dengan beach club, restoran mewah, dan butik",-8.691300,115.157242,Seminyak,Indonesia,Pantai,"pantai,beach club,mewah,kuliner","{""default"": ""00:00-23:59""}"
Pantai Canggu,"Area populer untuk peselancar, kafe sehat, dan suasana santai",-8.659350,115.128770,Canggu,Indonesia,Pantai,"pantai,surfing,kafe,bohemian","{""default"": ""00:00-23:59""}"
Nusa Penida,"Pulau di tenggara Bali dengan tebing dramatis dan pantai eksotis",-8.736944,115.553056,Klungkung,Indonesia,Pulau,"pulau,tebing,diving,pantai","{""default"": ""00:00-23:59""}"
Kelingking Beach,"Pantai di Nusa Penida dengan tebing ikonik berbentuk T-Rex",-8.751389,115.474167,Nusa Penida,Indonesia,Pantai,"pantai,tebing,ikonik,nusa penida","{""default"": ""06:00-18:00""}"
Pura Tirta Empul,"Pura dengan sumber mata air suci untuk ritual penyucian (melukat)",-8.415278,115.315000,Tampaksiring,Indonesia,Religi,"pura,mata air suci,melukat,bali","{""default"": ""08:00-18:00""}"
Garuda Wisnu Kencana (GWK),"Taman budaya dengan patung Dewa Wisnu raksasa",-8.810556,115.167222,Uluwatu,Indonesia,Taman Budaya,"patung,budaya,seni,konser","{""default"": ""10:00-21:00""}"
Pantai Nusa Dua,"Kawasan resort mewah dengan pantai berpasir putih yang tenang dan bersih",-8.802500,115.228056,Nusa Dua,Indonesia,Pantai,"pantai,mewah,resort,keluarga","{""default"": ""00:00-23:59""}"
Campuhan Ridge Walk,"Jalur trekking mudah di Ubud dengan pemandangan lembah hijau",-8.506510,115.255280,Ubud,Indonesia,Alam,"trekking,bukit,alam,ubud","{""default"": ""00:00-23:59""}"
Goa Gajah,"Situs arkeologi dengan gua berukir dan kolam pemandian kuno",-8.527330,115.286819,Ubud,Indonesia,Sejarah,"pura,gua,arkeologi,sejarah","{""default"": ""08:00-17:00""}"
Desa Penglipuran,"Desa adat tradisional Bali yang sangat bersih dan tertata rapi",-8.433333,115.366667,Bangli,Indonesia,Budaya,"desa adat,budaya,tradisional,bali","{""default"": ""08:00-17:00""}"
Air Terjun Tegenungan,"Air terjun populer yang mudah diakses dekat Ubud",-8.575278,115.289722,Gianyar,Indonesia,Alam,"air terjun,alam,berenang,gianyar","{""default"": ""06:30-18:30""}"
Pantai Sanur,"Pantai dengan suasana tenang, cocok untuk melihat matahari terbit",-8.694444,115.263889,Denpasar,Indonesia,Pantai,"pantai,sunrise,tenang,keluarga","{""default"": ""00:00-23:59""}"
Pura Lempuyang Luhur,"Pura dengan 'Gerbang Surga' yang berlatar Gunung Agung",-8.391667,115.631389,Karangasem,Indonesia,Religi,"pura,gerbang surga,gunung agung,fotografi","{""default"": ""06:00-19:00""}"
Taman Ujung,"Istana air peninggalan Kerajaan Karangasem dengan arsitektur indah",-8.461111,115.626389,Karangasem,Indonesia,Sejarah,"istana air,sejarah,taman,arsitektur","{""default"": ""07:00-19:00""}"
Nusa Lembongan,"Pulau kecil dekat Bali untuk snorkeling, diving, dan bersantai",-8.683333,115.450000,Klungkung,Indonesia,Pulau,"pulau,snorkeling,diving,santai","{""default"": ""00:00-23:59""}"
Air Terjun Gitgit,"Salah satu air terjun tertinggi dan terpopuler di Bali Utara",-8.194444,115.138889,Singaraja,Indonesia,Alam,"air terjun,alam,bali utara,tinggi","{""default"": ""08:00-17:00""}"
Pasar Seni Ubud,"Pasar tradisional yang menjual aneka kerajinan tangan, seni, dan oleh-oleh",-8.508056,115.262500,Ubud,Indonesia,Belanja,"pasar seni,belanja,oleh-oleh,kerajinan","{""default"": ""08:00-18:00""}"
Pantai Lovina,"Pantai berpasir hitam yang terkenal dengan atraksi lumba-lumba di pagi hari",-8.163056,115.025833,Singaraja,Indonesia,Pantai,"pantai,lumba-lumba,sunrise,pasir hitam","{""default"": ""00:00-23:59""}"
Pantai Jimbaran,"Terkenal dengan restoran seafood bakar di tepi pantai saat sunset",-8.779722,115.169167,Jimbaran,Indonesia,Kuliner,"kuliner,seafood,pantai,sunset","{""default"": ""15:00-23:00""}"
Pantai Amed,"Kawasan pesisir untuk diving dan snorkeling dengan pemandangan Gunung Agung",-8.333333,115.650000,Karangasem,Indonesia,Bahari,"diving,snorkeling,pantai,amed","{""default"": ""00:00-23:59""}"
Bali Safari & Marine Park,"Taman safari dan konservasi satwa dari berbagai belahan dunia",-8.594722,115.350833,Gianyar,Indonesia,Taman Hiburan,"safari,hewan,keluarga,edukasi","{""default"": ""09:00-17:00""}"
Candi Borobudur,"Candi Buddha terbesar di dunia, situs warisan UNESCO",-7.607874,110.203751,Magelang,Indonesia,Sejarah,"candi,unesco,sejarah,sunrise","{""default"": ""06:30-17:00""}"
Candi Prambanan,"Kompleks candi Hindu terbesar di Indonesia",-7.752028,110.491467,Yogyakarta,Indonesia,Sejarah,"candi,hindu,sejarah,ramayana","{""default"": ""06:30-17:00""}"
Taman Nasional Komodo,"Habitat asli kadal raksasa Komodo dan keindahan bawah laut",-8.543333,119.489444,Labuan Bajo,Indonesia,Alam,"komodo,pulau,alam liar,diving","{""default"": ""07:00-17:00""}"
Raja Ampat,"Gugusan kepulauan dengan biodiversitas laut tertinggi di dunia",-0.555833,130.528333,Sorong,Indonesia,Bahari,"diving,snorkeling,pulau,surga","{""default"": ""00:00-23:59""}"
Gunung Bromo,"Gunung berapi aktif dengan lautan pasir dan pemandangan sunrise spektakuler",-7.942500,112.953333,Probolinggo,Indonesia,Gunung,"gunung,sunrise,kawah,jeep","{""default"": ""00:00-23:59""}"
Danau Toba,"Danau vulkanik terbesar di dunia dengan Pulau Samosir di tengahnya",2.633333,98.816667,Parapat,Indonesia,Danau,"danau,pulau,budaya,batak","{""default"": ""00:00-23:59""}"
Gili Trawangan,"Pulau kecil di Lombok untuk pesta, menyelam, dan bersepeda",-8.351389,116.039444,Lombok,Indonesia,Pulau,"pulau,pesta,diving,sepeda","{""default"": ""00:00-23:59""}"
Kawah Ijen,"Kawah dengan fenomena api biru (blue fire) dan danau asam",-8.058333,114.242500,Banyuwangi,Indonesia,Gunung,"kawah,gunung,blue fire,hiking","{""default"": ""01:00-12:00""}"
Monumen Nasional (Monas),"Monumen ikonik dan bersejarah di jantung kota Jakarta",-6.175392,106.827153,Jakarta,Indonesia,Monumen,"monumen,sejarah,jakarta,ikonik","{""default"": ""08:00-16:00""}"
Jalan Malioboro,"Jalan perbelanjaan dan kuliner ikonik di pusat Yogyakarta",-7.792827,110.365922,Yogyakarta,Indonesia,Pusat Kota,"belanja,kuliner,malioboro,khas","{""default"": ""00:00-23:59""}"
Kawah Putih,"Danau kawah vulkanik dengan warna air putih kehijauan yang bisa berubah",-7.166667,107.402500,Bandung,Indonesia,Alam,"kawah,danau,alam,dingin","{""default"": ""07:00-17:00""}"
Taman Nasional Tanjung Puting,"Pusat konservasi orangutan di Kalimantan Tengah",-2.983333,111.950000,Pangkalan Bun,Indonesia,Alam,"orangutan,konservasi,hutan,sungai","{""default"": ""08:00-16:00""}"
Pantai Pink,"Pantai unik di Pulau Komodo dengan pasir berwarna merah muda",-8.725833,119.863333,Labuan Bajo,Indonesia,Pantai,"pantai,pink,snorkeling,pulau komodo","{""default"": ""00:00-23:59""}"
Keraton Yogyakarta,"Istana resmi Kesultanan Yogyakarta yang sarat akan budaya Jawa",-7.805278,110.364444,Yogyakarta,Indonesia,Budaya,"keraton,sejarah,budaya,jawa","{""default"": ""08:30-14:00""}"
Gunung Rinjani,"Gunung berapi tertinggi kedua di Indonesia dengan danau Segara Anak di puncaknya",-8.416667,116.466667,Lombok,Indonesia,Gunung,"gunung,hiking,danau segara anak,pendakian","{""default"": ""07:00-15:00""}"
Kota Tua Jakarta,"Kawasan bersejarah dengan bangunan peninggalan kolonial Belanda",-6.135200,106.813295,Jakarta,Indonesia,Sejarah,"sejarah,kolonial,museum,fotografi","{""default"": ""00:00-23:59""}"
Danau Kelimutu,"Danau tiga warna yang menakjubkan di puncak gunung Flores",-8.770000,121.820000,Moni,Indonesia,Danau,"danau,tiga warna,gunung,sunrise","{""default"": ""04:30-17:00""}"
Tangkuban Perahu,"Gunung berapi dengan kawah yang dapat diakses dengan mudah di Lembang",-6.760000,107.600000,Bandung,Indonesia,Gunung,"gunung,kawah,legenda,wisata alam","{""default"": ""07:00-17:00""}"
Museum Angkut,"Museum transportasi modern pertama di Asia Tenggara",-7.886000,112.520000,Batu,Indonesia,Museum,"museum,transportasi,mobil,keluarga","{""default"": ""12:00-20:00""}"
Tana Toraja,"Dataran tinggi di Sulawesi Selatan dengan budaya dan ritual pemakaman unik",-3.050000,119.800000,Rantepao,Indonesia,Budaya,"budaya,adat,pemakaman,toraja","{""default"": ""09:00-17:00""}"
Goa Jomblang,"Gua vertikal dengan fenomena 'cahaya surga' di Gunungkidul",-8.029444,110.633889,Yogyakarta,Indonesia,Alam,"gua,cahaya surga,petualangan,caving","{""default"": ""09:00-14:00""}"
Belitung,"Pulau dengan pantai berpasir putih dan formasi batu granit raksasa",-2.750000,107.916667,Tanjung Pandan,Indonesia,Pulau,"pulau,pantai,batu granit,laskar pelangi","{""default"": ""00:00-23:59""}"
Jatim Park 2,"Taman rekreasi edukatif dengan Museum Satwa dan Batu Secret Zoo",-7.889167,112.529722,Batu,Indonesia,Taman Hiburan,"edukasi,hewan,museum,keluarga","{""default"": ""10:00-18:00""}"
Taman Nasional Way Kambas,"Pusat konservasi dan pelatihan gajah sumatera di Lampung",-4.883333,105.783333,Lampung,Indonesia,Alam,"gajah,konservasi,taman nasional,sumatera","{""default"": ""08:00-17:00""}"
Dieng Plateau,"Dataran tinggi vulkanik dengan candi, kawah, dan telaga warna",-7.208333,109.916667,Wonosobo,Indonesia,Alam,"dataran tinggi,candi,kawah,telaga","{""default"": ""07:00-17:00""}"
Pulau Weh,"Pulau di ujung barat Indonesia, surga bagi penyelam",5.833333,95.316667,Sabang,Indonesia,Pulau,"pulau,diving,snorkeling,sabang","{""default"": ""00:00-23:59""}"
Bukit Lawang,"Pusat rehabilitasi orangutan di tepi Taman Nasional Gunung Leuser",3.550000,98.133333,Bukit Lawang,Indonesia,Alam,"orangutan,hutan,trekking,sumatera","{""default"": ""08:00-16:00""}"
Pasar Terapung Lok Baintan,"Pasar tradisional otentik di atas sungai di Banjarmasin",-3.383333,114.650000,Banjarmasin,Indonesia,Budaya,"pasar terapung,tradisional,sungai,kalimantan","{""default"": ""05:00-09:00""}"
